,78,100,141,143,144,211,221,227,234,303,304,306,314,332,380,412,458,465,467,520,526,527,540,543,728,739,746,790,819,820,821,831,869,871,884,892,1059,1078,1079,1136,1144,1145,1148,1198,1237,1238,1288,1291,1293,1300,1335,1336,1338,1350,1351,1382,1401,1472,1507,1537,1580,1581,1586,1618,1691,1697,1698,1700,1702,1705,1738,1762,1789,1825,1839,1849,1862,1863,1895,6668,7053,7054,7273,7713,7714
78,0,28066.44758,108007.9758,111570.0298,307018.7603,33464.60912,165899.7439,514021.6169,500408.7068,182323.9978,34154.72581,31860.88129,512905.5782,173205.2207,9048.076534,179822.1494,151830.2047,113181.7158,117622.3141,525922.3383,523620.903,518498.5287,529816.1625,521741.1167,145935.6486,126836.8751,171388.1592,25138.83671,156046.5612,132836.4585,131525.6324,175380.2819,158727.7945,37612.79682,397324.5377,174424.0164,104635.7437,429639.5144,428072.1861,44416.56935,138469.9904,117124.5482,519781.075,160696.2756,308345.5858,310813.891,171318.1993,529704.5509,175110.8233,38565.12641,147205.5988,149544.2676,314262.2652,177185.7176,165255.6375,171530.833,30113.67394,526278.7358,505639.0076,532779.8358,394153.484,33045.75303,97772.01913,104129.2214,421067.3007,140716.1464,136182.2935,474944.3068,418972.4954,467491.6578,465750.7409,467000.9935,465232.4842,97753.99423,96814.93999,474249.116,431561.5725,430477.7741,427758.6811,530557.3964,205049.5021,201808.1762,95701.04006,413843.3616,410132.2577
100,28066.44758,0,80152.35269,83714.40673,279163.1373,47337.98088,191091.2336,486165.9939,472553.0837,207515.4875,59346.21554,45734.25305,485049.9551,198396.7104,33121.90013,205013.6391,123974.5817,85326.09273,89766.69101,498066.7153,495765.2799,490642.9056,501960.5395,493885.4937,118080.0255,98981.252,196579.6489,2927.610871,128190.9381,104980.8354,103670.0094,147524.6588,130872.1714,51486.16858,369468.9146,146568.3934,76780.12059,401783.8914,400216.5631,17472.41568,110614.3673,89268.92509,491925.4519,132840.6525,280489.9627,282958.2679,143462.5762,501848.9279,147255.2002,11620.97274,119349.9758,121688.6445,286406.6421,149330.0946,137400.0144,143675.2099,43987.0457,498423.1128,477783.3845,504924.2127,366297.861,5190.129962,69916.39607,76273.59835,393211.6776,165907.6361,161373.7832,447088.6837,391116.8723,439636.0347,437895.1178,439145.3704,437376.8611,69898.37117,68959.31693,446393.4929,403705.9494,402622.1511,399903.058,502701.7733,177193.879,173952.5531,67845.417,385987.7386,382276.6346
141,108007.9758,80152.35269,0,19422.06364,221748.6157,113729.3539,262896.0257,428751.4724,415138.5622,279320.2797,137463.5428,112125.6261,427635.4336,270201.5026,113063.4283,276818.4313,52204.40001,23943.74372,20842.96495,440652.1937,438350.7584,433228.3841,444546.018,436470.9722,46309.84386,27211.07035,268384.4411,82869.13904,56420.7565,36882.81331,48879.80519,88992.47114,59101.98976,117877.5416,310797.0187,88036.2057,22758.31187,344369.3699,342802.0416,64640.48053,38844.18565,17498.74345,434510.9304,71654.00776,223075.4412,225543.7464,84930.38853,444434.4064,89840.67873,70000.4203,51946.31314,54284.98185,228992.1206,90658.19864,78378.8478,85003.31398,110378.4188,441008.5912,420368.863,447509.6912,307625.9651,74962.22273,14497.50467,21483.39416,334539.7817,237712.4282,233178.5754,389674.1622,332444.9764,382221.5132,380480.5963,381730.8489,379962.3396,14160.8149,14200.55995,388978.9714,346291.4279,345207.6295,341231.1621,445287.2518,119779.3575,116538.0316,13218.40508,327315.8426,323604.7387
143,111570.0298,83714.40673,19422.06364,0,205629.0489,117291.408,266458.0798,412631.9055,399018.9954,282882.3337,141025.5969,115687.6801,411515.8668,273763.5566,116625.4823,280380.4853,41940.01964,6695.572361,9948.224627,424532.6269,422231.1916,417108.8172,428426.4511,420351.4053,36045.46349,16946.68997,271946.4951,86431.19308,46156.37613,25857.56485,41059.51335,72872.90428,48837.60939,121439.5957,294677.4518,71916.63885,34641.50255,328249.803,326682.4747,68202.53457,28579.80527,6954.946539,418391.3635,56022.15773,206955.8743,209424.1796,68810.82168,428314.8395,73721.11188,73562.47434,40921.06468,43259.73339,212872.5537,74538.63179,62259.28095,68883.74713,113940.4728,424889.0244,404249.2961,431390.1244,291506.3982,78524.27677,26380.69535,33366.58484,318420.2148,241274.4823,236740.6294,373554.5954,316325.4096,366101.9463,364361.0294,365611.282,363842.7727,21366.6732,22235.03189,372859.4046,330171.8611,329088.0627,325111.5952,429167.685,103659.7906,100418.4647,23771.00157,311196.2758,307485.1719
144,307018.7603,279163.1373,221748.6157,205629.0489,0,312740.1385,461906.8103,225974.4142,212361.504,478331.0642,336474.3274,311136.4107,224858.3754,469212.2871,312074.2129,475829.2158,199996.693,199770.8847,200905.6508,237875.1356,235573.7002,230451.3259,241768.9598,233693.914,205187.6594,205485.4279,467395.2256,281879.9236,196198.1992,195831.7149,224060.4222,136828.304,196931.0441,316888.3262,272041.5599,135183.1382,236968.0546,141592.3117,140024.9834,263651.2651,209904.2149,204390.422,231733.8722,153608.35,3425.815128,4427.183527,136958.7769,241657.3482,131907.937,269011.2049,178763.4301,181102.0988,7875.557695,140138.6477,146953.7848,141102.3418,309389.2033,238231.5331,217591.8048,244732.633,268870.5063,273973.0073,228707.2474,235693.1369,295784.3229,436723.2128,432189.3599,186897.104,293689.5176,179444.455,177703.5381,178953.7907,177185.2814,226855.1724,227567.0046,186201.9132,143514.3698,142430.5714,302475.7033,242510.1936,103795.142,106334.9816,226584.8498,288560.3838,284849.2799
211,33464.60912,47337.98088,113729.3539,117291.408,312740.1385,0,151126.8349,519742.9951,506130.085,167551.0888,24083.45955,1813.290235,518626.9564,158432.3117,25666.37961,165049.2404,157551.5829,118903.094,123343.6923,531643.7165,529342.2812,524219.9069,535537.5407,527462.4949,151657.0268,132558.2532,156615.2502,44410.37001,161767.9394,138557.8366,137247.0106,181101.66,164449.1727,4497.458367,403045.9158,180145.3946,110357.1218,435360.8926,433793.5643,60670.07591,144191.3685,122845.9263,525502.4531,166417.6537,314066.964,316535.2692,177039.5774,535425.9291,180832.2015,54818.63297,152926.977,155265.6457,319983.6433,182907.0958,170977.0156,177252.2111,3840.755532,532000.114,511360.3857,538501.214,399874.8622,43163.7799,103493.3973,109850.5996,426788.6788,125943.2374,121409.3845,480665.685,424693.8736,473213.0359,471472.119,472722.3717,470953.8623,103475.3724,102536.3182,479970.4942,437282.9507,436199.1523,433480.0592,536278.7746,210770.8803,207529.5543,101422.4182,419564.7398,415853.6359
221,165899.7439,191091.2336,262896.0257,266458.0798,461906.8103,151126.8349,0,457380.1796,472257.5607,48630.21645,136905.044,152940.1251,458921.1725,7305.476808,161819.735,13922.40553,306718.2547,268069.7658,272510.3641,453880.3133,451578.878,447434.4616,457774.1375,450048.3624,300823.6986,281724.925,5488.415326,188163.6227,310934.6112,287724.5085,286413.6824,330268.3318,313615.8445,148241.4958,552212.5876,329312.0664,259523.7936,553006.6437,554294.5555,207441.3554,293358.0403,272012.5981,463139.6376,315584.3255,463233.6358,465701.941,326206.2492,457662.5259,329998.8733,201589.9124,302093.6488,304432.3175,469150.3151,332073.7676,320143.6874,326418.883,154269.0491,454236.7108,466187.7432,460737.8108,549041.534,192330.4517,252660.0691,259017.2714,575955.3506,26025.63346,29717.45036,532203.6341,573860.5454,524750.9851,523010.0682,524260.3208,522491.8115,252642.0442,251702.99,531508.4433,551084.5856,551888.9675,582646.7311,456987.7957,359937.5521,356696.2261,250589.09,568731.4116,565020.3077
227,514021.6169,486165.9939,428751.4724,412631.9055,225974.4142,519742.9951,457380.1796,0,16543.84384,477163.7425,532771.36,518139.2673,3626.58047,464685.6564,519077.0695,471302.5851,406999.5497,406773.7413,407908.5074,25960.81521,23659.37989,18537.00557,29854.63943,21779.59362,412190.516,412488.2845,462868.5949,488882.7802,403201.0559,402834.5715,431063.2788,343831.1606,403933.9008,523891.1828,479044.4165,342185.9949,443970.9113,115624.1593,116912.0711,470654.1217,416907.0715,411393.2786,5759.458027,360611.2066,227301.2396,229769.5448,343961.6335,29743.02783,338910.7936,476014.0615,385766.2867,388104.9554,233217.919,347141.5043,353956.6414,348105.1985,516392.0599,26317.2127,10474.02633,32818.31269,475873.3629,480975.8639,435710.1041,442695.9936,502787.1795,449187.0822,445281.9166,94821.14973,500692.3742,87368.50068,85627.58378,86877.8364,85109.32709,433858.029,434569.8613,94125.95894,113702.1012,114506.4831,509478.5599,30595.87327,310797.9986,313337.8382,433587.7064,495563.2404,491852.1365
234,500408.7068,472553.0837,415138.5622,399018.9954,212361.504,506130.085,472257.5607,16543.84384,0,492041.1237,529864.2739,504526.3571,13336.38817,479563.0375,505464.1593,486179.9662,393386.6395,393160.8312,394295.5973,40838.19635,38536.76103,33414.38671,44732.02057,36656.97476,398577.6059,398875.3744,477745.976,475269.8701,389588.1457,389221.6613,417450.3687,330218.2505,390320.9906,510278.2727,465431.5063,328573.0847,430358.0011,102011.2492,103299.1609,457041.2116,403294.1614,397780.3685,20971.44555,346998.2965,213688.3295,216156.6347,330348.7234,44620.40897,325297.8835,462401.1513,372153.3766,374492.0453,219605.0089,333528.5942,340343.7313,334492.2883,502779.1498,41194.59384,6069.81751,47695.69383,462260.4527,467362.9538,422097.1939,429083.0834,489174.2694,464064.4634,460159.2977,81208.2396,487079.4641,73755.59055,72014.67365,73264.92627,71496.41696,420245.1189,420956.9511,80513.04881,100089.1911,100893.573,495865.6498,45473.25441,297185.0884,299724.9281,419974.7963,481950.3303,478239.2264
