mort_date,year,month,month_numerical,site_id,latitude,longitude,mort_action,mort_contributing,mort_comments,company,site,zone,species,mort_cause,mortality_events,mot_control,algalbloom,ag_control,low_do,ldocontrol,treatment,treatment_control,date,year class
8/27/2012,2012,August,8,520,49.26548,-125.81247,Carcass Removal,n/a,n/a,Cermaq Canada,Bedwell,Clayoquot Sound,Atlantic Salmon (Salmo salar),Low Dissolved Oxygen,1,0,0,1,1,0,0,1,n/a,1
9/11/2012,2012,September,9,1705,49.656231,-126.42849,Not reported,n/a,n/a,Grieg Seafood BC,Williamson,Nootka Sound,Atlantic Salmon (Salmo salar),Algae Bloom,1,0,1,0,0,1,0,1,n/a,1
9/26/2012,2012,September,9,1789,49.659229,-126.47587,Not reported,n/a,n/a,Grieg Seafood BC,Concepcion,Nootka Sound,Atlantic Salmon (Salmo salar),Algae Bloom,1,0,1,0,0,1,0,1,n/a,1
10/4/2012,2012,October,10,1238,50.469143,-127.83577,Carcass Removal,n/a,n/a,MOWI Canada West,Mahatta West,Quatsino Sound,Atlantic Salmon (Salmo salar),Algae Bloom,1,0,1,0,0,1,0,1,10/30/2012,2
10/4/2012,2012,October,10,1338,50.474564,-127.78781,Carcass Removal,n/a,n/a,MOWI Canada West,Mahatta East,Quatsino Sound,Atlantic Salmon (Salmo salar),Algae Bloom,1,0,1,0,0,1,0,1,10/28/2012,2
10/9/2012,2012,October,10,527,49.248032,-125.90671,Carcass Removal,n/a,n/a,Cermaq Canada,Saranac Island,Clayoquot Sound,Atlantic Salmon (Salmo salar),Low Dissolved Oxygen,1,0,0,1,1,0,0,1,n/a,1
10/22/2012,2012,October,10,1059,50.673458,-126.18595,Carcass Removal,n/a,Atypical furunculosis,MOWI Canada West,Sargeaunt Pass,Broughton Archipelago,Atlantic Salmon (Salmo salar),Infectious disease,1,0,0,1,0,1,0,1,41187,2
2/15/2013,2013,February,2,1789,49.659229,-126.47587,Not reported,n/a,n/a,Grieg Seafood BC,Concepcion,Nootka Sound,Atlantic Salmon (Salmo salar),Poor performers,1,0,0,1,0,1,0,1,n/a,1
3/18/2013,2013,March,3,1700,49.640121,-126.32735,Not reported,n/a,n/a,Grieg Seafood BC,Muchalat South,Nootka Sound,Atlantic Salmon (Salmo salar),Water Quality,1,0,0,1,0,1,0,1,3/28/2013,1
4/16/2013,2013,April,4,1789,49.659229,-126.47587,Not reported,n/a,n/a,Grieg Seafood BC,Concepcion,Nootka Sound,Atlantic Salmon (Salmo salar),Poor performers,1,0,0,1,0,1,0,1,n/a,2
